1	25	881	20
2	25	988	10
3	448	858	60
4	448	859	50
5	448	864	230
6	448	865	80
7	448	870	110
8	448	873	80
9	448	876	60
10	448	877	80
11	448	880	90
12	448	881	60
13	448	883	70
14	448	884	30
15	448	885	80
16	448	889	40
17	448	893	10
18	448	895	20
19	448	896	30
20	448	899	20
21	448	900	10
22	502	860	60
23	502	867	140
24	502	868	40
25	502	869	80
26	502	894	50
27	502	904	20
28	502	905	20
29	502	988	50
30	502	992	50
31	502	994	30
32	502	996	40
33	582	859	10
34	582	864	60
35	582	865	40
36	582	870	60
37	582	876	30
38	582	877	100
39	582	880	90
40	582	881	60
41	582	883	40
42	582	884	40
43	582	885	20
44	582	886	10
45	582	892	10
46	582	893	10
47	582	894	30
48	582	994	10
49	582	996	40
50	609	836	10
51	649	874	20
52	649	875	110
53	649	998	20
54	649	999	30
55	674	864	30
56	674	876	10
57	674	884	70
